a1 shirt n.
a1 shoe n.
a1 shop n., v.
a1 shopping n.
a1 short adj.
a1 show v., n.
a1 shower n.
a1 sick adj.
a1 similar adj.
a1 sing v.
a1 singer n.
a1 sister n.
a1 sit v.
a1 situation n.
a1 skill n.
a1 skirt n.
a1 sleep v.
a1 slow adj.
a1 small adj.
a1 snake n.
a1 snow n., v.
a1 sometimes adv.
a1 son n.
a1 song n.
a1 soon adv.
a1 sorry adj.
a1 sound n., v.
a1 soup n.
a1 south n., adj., adv.
a1 space n.
a1 speak v.
a1 special adj.
a1 spell v.
a1 spelling n.
a1 spend v.
a1 sport n.
a1 spring n.
a1 stand v.
a1 star n.
a1 start v.
a1 statement n.
a1 station n.
a1 stay v.
a1 still adv.
a1 stop v., n.
a1 story n.
a1 street n.
a1 strong adj.
a1 student n.
a1 study n., v.
a1 style n.
a1 subject n.
a1 success n.
a1 sugar n.
a1 summer n.
a1 sun n.
a1 Sunday n.
a1 supermarket n.
a1 sure adj.
a1 sweater n.
a1 swim v.
a1 swimming n.
a1 table n.
a1 take v.
a1 talk v.
a1 tall adj.
a1 taxi n.
a1 tea n.
a1 teach v.
a1 teacher n.
a1 team n.
a1 teenager n.
a1 telephone n., v.
a1 television n.
a1 tell v.
a1 tennis n.
a1 terrible adj.
a1 test n., v.
a1 text n.
a1 thank v.
a1 thanks n.
a1 theatre n.
a1 thing n.
a1 think v.
a1 thirsty adj.
a1 Thursday n.
a1 ticket n.
a1 time n.
a1 tired adj.
a1 title n.
a1 today adv., n.
a1 together adv.
a1 toilet n.
a1 tomato n.
a1 tomorrow adv., n.
a1 tonight adv., n.
a1 tooth n.
a1 topic n.
a1 tourist n.
a1 town n.
a1 traffic n.
a1 train n.
a1 travel v., n.
a1 tree n.
a1 trip n.
a1 trousers n.
a1 true adj.
a1 try v.
a1 T-shirt n.
a1 Tuesday n.
a1 turn v., n.
a1 TV n.
a1 twice adv.
a1 type n.
a1 umbrella n.
a1 uncle n.
a1 understand v.
a1 university n.
a1 upstairs adv.
a1 use v.
a1 useful adj.
a1 usually adv.
a1 vacation n.
a1 vegetable n.
a1 video n.
a1 village n.
a1 visit v., n.
a1 visitor n.
a1 wait v.
a1 waiter n.
a1 wake v.
a1 walk v., n.
a1 wall n.
a1 want v.
a1 warm adj.
a1 wash v.
a1 watch v., n.
a1 water n.
a1 way n.
a1 wear v.
a1 weather n.
a1 website n.
a1 Wednesday n.
a1 week n.
a1 weekend n.
a1 welcome v., adj.
a1 well adv., adj.
a1 west n., adj., adv.
a1 white adj., n.
a1 wife n.
a1 win v.
a1 window n.
a1 wine n.
a1 winter n.
a1 woman n.
a1 wonderful adj.
a1 word n.
a1 work v., n.
a1 worker n.
a1 world n.
a1 write v.
a1 writer n.
a1 writing n.
a1 wrong adj.
a1 year n.
a1 yellow adj., n.
a1 yesterday adv., n.
a1 young adj.
a2 ability n.
a2 able adj.
a2 abroad adv.
a2 accept v.
a2 accident n.
a2 achieve v.
a2 act v.
a2 active adj.
a2 actually adv.
a2 adult adj.
a2 advantage n.
a2 adventure n.
a2 advertise v.
a2 advertisement n.
a2 advertising n.
a2 affect v.
a2 airline n.
a2 alive adj.
a2 all adv.
a2 allow v.
a2 almost adv.
a2 alone adj./adv.
a2 along adv.
a2 already adv.
a2 alternative n.
a2 amount n.
a2 ancient adj.
a2 ankle n.
a2 app n.
a2 appear v.
a2 appearance n.
a2 apply v.
a2 architect n.
a2 architecture n.
a2 argue v.
a2 argument n.
a2 army n.
a2 arrange v.
a2 arrangement n.
a2 asleep adj.
a2 assistant n., adj.
a2 athlete n.
a2 attack n., v.
a2 attend v.
a2 attention n.
a2 attractive adj.
a2 audience n.
a2 author n.
a2 available adj.
a2 average adj., n.
a2 avoid v.
a2 award n.
a2 awful adj.
a2 back adj.
a2 background n.
a2 badly adv.
a2 bar n.
a2 baseball n.
a2 based adj.
a2 basketball n.
a2 bean n.
a2 bear n.
a2 beat v.
a2 beef n.
a2 behave v.
a2 behaviour n.
a2 belong v.
a2 belt n.
a2 benefit n.
a2 best adv., n.
a2 better adv.
a2 between adv.
a2 bin n.
a2 biology n.
a2 birth n.
a2 biscuit n.
a2 bit n.
a2 blank adj., n.
a2 blood n.
a2 blow v.
a2 board n.
a2 boil v.
a2 bone n.
a2 book v.
a2 borrow v.
a2 boss n.
a2 bottom n., adj.
a2 bowl n.
a2 brain n.
a2 bridge n.
a2 bright adj.
a2 brilliant adj.
a2 broken adj.
a2 brush v., n.
a2 burn v.
a2 businessman n.
a2 button n.
a2 camp n., v.
a2 camping n.
a2 can n.
a2 care n., v.
a2 careful adj.
a2 carefully adv.
a2 carpet n.
a2 cartoon n.
a2 case n.
a2 cash n.
a2 castle n.
a2 catch v.
a2 cause n., v.
a2 celebrate v.
a2 celebrity n.
a2 certain adj.
a2 certainly adv.
a2 chance n.
a2 character n.
a2 charity n.
a2 chat v., n.
a2 check n.
a2 chef n.
a2 chemistry n.
a2 chip n.
a2 choice n.
a2 church n.
a2 cigarette n.
a2 circle n., v.
a2 classical adj.
a2 clear adj.
a2 clearly adv.
a2 clever adj.
a2 climate n.
a2 close adj.
a2 closed adj.
a2 clothing n.
a2 cloud n.
a2 coach n.
a2 coast n.
a2 code n.
a2 colleague n.
a2 collect v.
a2 column n.
a2 comedy n.
a2 comfortable adj.
a2 comment n.
a2 communicate v.
a2 community n.
a2 compete v.
a2 competition n.
a2 complain v.
a2 completely adv.
a2 condition n.
a2 conference n.
a2 connect v.
a2 connected adj.
a2 consider v.
a2 contain v.
a2 context n.
a2 continent n.
a2 continue v.
a2 control n., v.
a2 cook n.
a2 cooker n.
a2 copy n., v.
a2 corner n.
a2 correctly adv.
a2 count v.
a2 couple n.
a2 cover v.
a2 crazy adj.
a2 creative adj.
a2 credit n.
